-0.051149,-0.057079,-0.098592,-0.238695,-0.013343,-0.176427,-0.161601,-0.148999,-0.028169,-0.025945,
-0.144778,-0.186709,-0.204905,-0.016614,-0.219937,-0.007911,-0.083861,-0.012658,-0.037975,-0.084652,
-0.004937,-0.171368,-0.027504,-0.224260,-0.054302,-0.051481,-0.147391,-0.122003,-0.038787,-0.157969,
-0.082073,-0.212743,-0.000000,-0.055076,-0.196544,-0.182505,-0.144708,-0.039957,-0.058315,-0.028078,
-0.205978,-0.083171,-0.095517,-0.000650,-0.099415,-0.062378,-0.189084,-0.037037,-0.159194,-0.067576,
-0.097206,-0.084400,-0.182771,-0.075669,-0.149593,-0.008731,-0.173458,-0.013388,-0.145518,-0.069267,
-0.070806,-0.081067,-0.115957,-0.023602,-0.050282,-0.101591,-0.159056,-0.138533,-0.154951,-0.104156,
-0.089492,-0.033685,-0.158874,-0.140271,-0.158874,-0.161890,-0.053796,-0.020613,-0.110608,-0.071895,
-0.131650,-0.005373,-0.174637,-0.146158,-0.031703,-0.161204,-0.125739,-0.132187,-0.078452,-0.012896,
-0.057143,-0.300461,-0.057143,-0.001843,-0.042396,-0.053456,-0.199078,-0.051613,-0.019355,-0.217512,
-0.082392,-0.027243,-0.091030,-0.081728,-0.045183,-0.099003,-0.094352,-0.202658,-0.180066,-0.096346,
-0.172368,-0.059211,-0.044737,-0.171053,-0.005263,-0.097368,-0.010526,-0.095395,-0.157895,-0.186184,
-0.148785,-0.139893,-0.135151,-0.064612,-0.001778,-0.176052,-0.171903,-0.012448,-0.056313,-0.093065,
-0.070624,-0.075883,-0.180316,-0.007513,-0.202104,-0.186326,-0.107438,-0.052592,-0.021788,-0.095417,
-0.102732,-0.118033,-0.049180,-0.166120,-0.119126,-0.044262,-0.169399,-0.097268,-0.017486,-0.116393,
